"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Accessibility","0","Movie list","3","0","The filter form, table, and pagination have no critical violations","0"
"0","Authentication","0","Login","3","0","Valid credentials navigate to /list","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Horror genre link filters and marks it active","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Mystery genre link filters and marks it active","0"
"0","Global error popup","0","5XX","3","0","A 5XX response triggers a refreshable ""something went wrong"" popup","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Comedy genre link filters and marks it active","0"
"0","Authentication","0","Login","3","0","A 401 response (any body) renders the fixed inline error, not the response body","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Fantasy genre link filters and marks it active","0"
"0","Movie list","0","Search","3","0","A search string matching nothing renders the empty-state row, not the list","0"
"0","Performance","0","Add movie","3","0","Fill → submit → list redirect completes under a fixed wall-clock budget","0"
"0","Add/Edit movie","0","Client-side validation","3","0","Every required-field error surfaces at once; submit stays disabled throughout","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Drama genre link filters and marks it active","0"
"0","Movie detail","0","Layout","3","0","Delete sits to the right of Edit — a regression guard for the table layout","0"
"0","Add/Edit movie","0","Server-side validation","3","0","A 400 with a structured errors[] body renders as a field-level message","0"
"0","Network mocking","0","Network failure","3","0","An aborted request on the very first /list load surfaces the list’s own error, not the popup","0"
"0","Movie list","0","Search","3","0","Typing debounces to exactly one request, fired only after the clock advances","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Romance genre link filters and marks it active","0"
"0","Add/Edit movie","0","Client-side validation","3","0","Submit only enables once the last required field becomes valid","0"
"0","Accessibility","0","Movie detail","3","0","The movie detail page has no critical violations","0"
"0","Global error popup","0","Interceptor asymmetry","3","0","4XX/5XX popups are additive with the page’s own error handling; 401 is exclusive","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Sci-Fi genre link filters and marks it active","0"
"0","Authentication","0","Session expiry","3","0","A 401 on any call triggers logout + a popup, not the page's own error message","0"
"0","Global error popup","0","Dismiss","3","0","Dismissing the popup leaves the page underneath untouched","0"
"0","Movie detail","0","Studio resolution","3","0","The studio ID on a movie is resolved to its name via a second lookup","0"
"0","Network mocking","0","Request spying","3","0","A single filter change fires exactly one additional request, not a duplicate","0"
"0","Movie detail","0","Not found","3","0","A 404 on the movie fetch renders a not-found message instead of the table","0"
"0","Global error popup","0","Network failure","3","0","An aborted request (status 0) is neither a 401 nor >= 400 to the interceptor","0"
"0","Non-functional","0","Keyboard accessibility","3","0","Login, search, open a detail page, and return to the list, mouse-free","0"
"0","Movie list","0","Pagination","3","0","Prev/Next disable exactly at the first/last page boundary","0"
"0","Authentication","0","Login","3","0","Invalid credentials stay on /login with an error","0"
"0","Movie list","0","Filters","3","0","Changing a filter re-fetches with the combined query and resets to page 0","0"
"0","Authentication","0","Logout","3","0","Logout clears the token and the guard re-blocks /list","0"
"0","Movie list","0","Sorting","3","0","Repeated clicks on a sort column flip direction; the other column switches ascending","0"
"0","Non-functional","0","Delete confirmation","3","0","The list and detail delete flows never rely on a native browser dialog","0"
"0","Accessibility","0","Add movie","3","0","The add-movie form has no critical violations, scanned in isolation","0"
"0","Accessibility","0","Login","3","0","The login page has no critical-impact axe-core violations","0"
"0","","0","","1","2","","0"
"0","Movie list","0","Delete","3","0","Confirming a delete removes the row and auto-dismisses the success toast","0"
"0","Add/Edit movie","0","Edit","3","0","Opening a known movie for edit locks the MID and pre-fills every other field","0"
"0","Performance","0","Page load","3","0","The list page reaches DOMContentLoaded/load within a fixed budget","0"
"0","Authentication","0","Route guard","3","0","authGuard redirects to /login when no token is present","0"
"0","Add/Edit movie","0","Server-side validation","3","0","A 409 on submit clears just the MID field and keeps the rest of the form","0"
"0","Network mocking","0","Wildcard route patterns","3","0","One handler intercepts every /movie/:mid request, not just one exact URL","0"
"0","Movie list","0","Delete","3","0","Declining the delete confirmation leaves the row untouched","0"
"0","Performance","0","Memory","1","0","Paging through results and applying filters does not blow the JS heap budget","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Adventure genre link filters and marks it active","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Thriller genre link filters and marks it active","0"
"0","Network mocking","0","Latency","3","0","Typing while a request is in flight does not fire a duplicate request","0"
"0","Movie list","0","Genre navbar","3","0","Clicking the Action genre link filters and marks it active","0"
"0","Add/Edit movie","0","Create","3","0","A valid submit redirects to the list and shows a success banner","0"
"0","Movie detail","0","Delete","3","0","Confirming delete from the detail page redirects to the list with a banner","0"
